ID;Fecha;PrecioPromedio
584;19/01/2022;1.85
585;18/01/2022;1.85
586;17/01/2022;1.85
587;15/01/2022;1.85
588;14/01/2022;1.85
589;13/01/2022;1.85
590;12/01/2022;1.85
591;11/01/2022;1.85
592;10/01/2022;1.85
593;8/01/2022;1.83
594;7/01/2022;1.84
595;6/01/2022;1.84
596;5/01/2022;1.84
597;4/01/2022;1.83
598;3/01/2022;1.82
599;2/01/2022;1.82
600;1/01/2022;1.82
